"CandidateId","RawCDRId","CallKey","LinkedId","UniqueId","Extension","Direction","DurationSeconds","RecordingStatus","AudioChannels","AudioCodec","CustomerClassMasked","ReasonForSelection","PIIMaskedNotes"
"C0018","14397","linked:1785665908.283002","1785665908.283002","1785665917.283017","401","inbound","181","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0019","308","linked:1785224822.238287","1785224822.238287","1785224862.238521","400","inbound","181","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_28","No phone number or audio included"
"C0020","14762","linked:1785738595.287770","1785738595.287770","1785738598.287785","400","inbound","180","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0021","836","linked:1785234275.243248","1785234275.243248","1785234286.243271","400","inbound","177","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_14","No phone number or audio included"
"C0022","389","linked:1785225390.238951","1785225390.238951","1785225397.238966","400","inbound","172","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0023","236","linked:1785217173.237627","1785217173.237627","1785217196.237642","400","inbound","171","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0024","1071","linked:1785237869.245388","1785237869.245388","1785237879.245403","401","inbound","168","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_14","No phone number or audio included"
"C0025","14774","linked:1785738727.287856","1785738727.287856","1785738742.287860","403","inbound","166","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_2","No phone number or audio included"
"C0026","15443","linked:1785752704.294629","1785752704.294629","1785752714.294644","400","inbound","163","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_15","No phone number or audio included"
"C0027","15127","linked:1785748765.291634","1785748765.291634","1785748773.291696","400","inbound","163","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0028","14944","linked:1785746264.289920","1785746264.289920","1785746278.289935","400","inbound","157","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0029","12309","linked:1785393700.259747","1785393700.259747","1785393709.259791","401","inbound","157","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0030","1058","linked:1785237733.245292","1785237733.245292","1785237755.245307","401","inbound","156","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0031","17285","linked:1786179074.318078","1786179074.318078","1786179081.318093","400","inbound","155","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_7","No phone number or audio included"
"C0032","15523","linked:1785755187.295701","1785755187.295701","1785755199.295716","400","inbound","155","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_8","No phone number or audio included"
"C0033","14339","linked:1785663271.282437","1785663271.282437","1785663280.282446","403","inbound","152","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_3","No phone number or audio included"
"C0034","14936","linked:1785745127.289813","1785745127.289813","1785745138.289817","403","inbound","151","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_3","No phone number or audio included"
"C0035","12558","linked:1785400334.262069","1785400334.262069","1785400339.262084","400","inbound","150","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0036","14440","linked:1785666367.283412","1785666367.283412","1785666408.283430","403","inbound","144","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_5","No phone number or audio included"
"C0037","14759","linked:1785738012.287729","1785738012.287729","1785738022.287733","403","inbound","138","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_2","No phone number or audio included"
"C0038","14445","linked:1785666578.283481","1785666578.283481","1785666595.283496","401","inbound","134","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_8","No phone number or audio included"
"C0039","1596","linked:1785317717.251977","1785317717.251977","1785317724.251992","401","inbound","134","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_14","No phone number or audio included"
"C0040","14096","linked:1785656845.279876","1785656845.279876","1785656849.279892","400","inbound","131","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0041","17295","linked:1786179529.318232","1786179529.318232","1786179529.318232","205","outbound","130","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_3","No phone number or audio included"
"C0042","13685","linked:1785584774.274966","1785584774.274966","1785584780.274981","400","inbound","127","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_14","No phone number or audio included"
"C0043","487","linked:1785227092.239867","1785227092.239867","1785227095.239883","400","inbound","127","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_15","No phone number or audio included"
"C0044","15366","linked:1785751446.293895","1785751446.293895","1785751451.293910","400","inbound","125","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0045","17082","linked:1786170916.314843","1786170916.314843","1786170928.314858","400","inbound","124","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_8","No phone number or audio included"
"C0046","12222","linked:1785390182.258930","1785390182.258930","1785390194.258934","403","inbound","124","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_3","No phone number or audio included"
"C0047","559","linked:1785228327.240583","1785228327.240583","1785228376.240690","401","inbound","124","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_25","No phone number or audio included"
"C0048","14748","linked:1785734596.287599","1785734596.287599","1785734606.287603","403","inbound","122","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_2","No phone number or audio included"
"C0049","13457","linked:1785578226.272049","1785578226.272049","1785578229.272064","203","outbound","122","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_9","No phone number or audio included"
"C0050","16641","linked:1785993832.309779","1785993832.309779","1785993890.309846","404","inbound","119","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_16","No phone number or audio included"
